id;title;uploader;artist;tags;duration_seconds;upload_date;view_count;like_count;year_uploaded;tag_count
Oa_RSwwpPaA;Benson Boone - Beautiful Things (Official Music Video);Benson Boone;;['Benson Boone', 'Beautiful Things', 'Benson Boone Beautiful Things', 'Benson Boone Beautiful Things Music Video', 'Benson Boone lyrics', 'Beautiful Things lyrics', 'Benson Boone Beautiful Things lyrics', 'In The Stars', 'Benson Boone In The Stars', 'benson boone', 'benson', 'benson boone in the stars', 'benson boone new music', 'benson boone live', 'in the stars lyrics', 'new music', 'music shorts', 'benson boone new song', 'benson boone music video', 'benson beautiful', 'these beautiful things', 'benson boone lyrics'];193;20240118;714960626;5402450;2024;22
hT_nvWreIhg;OneRepublic - Counting Stars;OneRepublic;;"['OneRepublic', 'One Republic', '1Republic', 'Counting Stars', 'Secrets', 'Good Life', 'All The Right Moves', 'Love Runs Out', 'Rescue Me', ""Let's Hurt Tonight"", 'Wherever Go', 'If Lose Myself', 'Stop and Stare', 'Kids', 'Rich Love', 'Wanted', 'Something Need', 'Lived', 'Run Run Run', 'Run', 'Someday', 'Pop Music', 'Top Pop Music', 'Pop Rock', 'Best Rock', 'Popular Music', 'Ryan Tedder', 'Better Days', 'Wild Life', ""Didn't"", 'Human', 'New One Republic', 'New OneRepublic Music', '한글자막', 'คำบรรยายภาษาไทย']";283;20130531;4201344832;18587393;2013;35
5m4ZkEqQrn0;Daft Punk - Giorgio By Moroder;EXPO STORY;;['Daft Punk', 'Random Access Memories', '2013', 'New', 'Disco', 'Get Lucky'];545;20130516;14802892;92467;2013;6
9gWIIIr2Asw;Teddy Swims - Lose Control (The Village Sessions);Teddy Swims;;['teddy swims', 'lose control', 'lose control live performance', 'teddy swims lose control', 'teddy swims lose control live performance', 'teddy swims lyrics', 'lose control lyrics', 'teddy swims lose control lyrics', 'teddy', 'swims', 'lose', 'control', 'teddy swims lyric video', 'teddy swims lyrics video', 'soul music', 'soul artist', 'teddy swims busking', 'village sessions', 'teddy swims viral video'];209;20240823;165655394;1207890;2024;19
IcrbM1l_BoI;Avicii - Wake Me Up (Official Video);Avicii;;['Avicii', 'Wake', 'Universal', 'Music', 'Dance', 'avicii wake me up remix', 'avicii live', 'avicii songs', 'avicii lonely', 'avicii the days', 'avicii nights', 'avicii mix', 'Avicii Avicii', 'アヴィーチー', '아비치', '艾維奇', '艾维奇', 'electronic dance music', 'streaming', 'Avicii Hit', 'EDM', '2013', 'Avicii Wake Me Up'];273;20130729;2455316894;12689692;2013;23
u2ah9tWTkmk;Alex Warren - Ordinary (Official Video);Alex Warren;;[];187;20250221;78158145;832859;2025;0
k2qgadSvNyU;Dua Lipa - New Rules (Official Music Video);Dua Lipa;;"['Dua Lipa', 'New Rules', 'Dua Lipa New Rules', 'Dua Lipa Official Video', 'New Rules Official Video', 'Dua', 'Dua Lipa music', 'Dua Lipa Lyrics', 'New Rules Lyrics', 'Dua lipa 2017', 'Dua Lipa songs', 'Dua Lipa Music', 'Pop', 'Pop Music', 'Official Music Video', 'dualipa', 'Duo Lipa', 'Dua Lup', 'дуа липа', 'yabancı şarkılar', 'ingilizce şarkılar', 'I got new rules', ""one don't pick up the phone"", ""two don't let him in"", ""three don't be his friend"", 'I got new rules I count em', 'DL1']";225;20170707;3164093377;18107918;2017;27
aSugSGCC12I;Sabrina Carpenter - Manchild (Official Video);Sabrina Carpenter;;['Sabrina Carpenter', 'Island Records', 'Pop', 'Manchild', 'New Music', '2025'];236;20250606;45869538;1140384;2025;6
XXYlFuWEuKI;The Weeknd - Save Your Tears (Official Music Video);The Weeknd;;['The', 'Weeknd', 'Save', 'Your', 'Tears', 'Universal', 'Republic', 'Records', 'The Weeknd', 'The Weekend', 'Weekend', 'Abel', 'After Hours', 'Save Your Tears', 'ザ・ウィークエンド', '위켄드', '한글자막', '日本語字幕', 'subtítulos en español', 'Türkçe Altyazılı', 'Phụ đề tiếng Việt', 'Subtitles in Tagalog', 'Teks dalam Bahasa Indonesia', 'उपशीर्षक हिंदी में', 'Sarikata Dalam Bahasa Malaysia', 'คำบรรยายภาษาไทย'];249;20210105;1998476543;10391883;2021;26
JgDNFQ2RaLQ;Ed Sheeran - Sapphire (Official Music Video);Ed Sheeran;;['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session', 'ed sheeran sapphire', 'ed sheeran india', 'sapphire', 'ed sheeran music video', 'ed sheeran video', 'ed sheeran play', 'ed sheeran sapphire lyrics', 'sapphire lyrics', 'sapphire music video', 'ed sheeran sapphire india', 'sapphire india', 'sapphire official music video'];183;20250605;102593768;3220214;2025;22
Q3Bp1QVVieM;Daft Punk - Lose Yourself To Dance (Feat. Pharrell Williams);EXPO STORY;;['Pharrell Williams (Rapper)', 'Daft Punk (Musical Group)', 'Dance (song)', 'Song (album)', 'New', 'Singing', 'Get Lucky', 'Random Access Memories', '2013', 'Album', 'Disco'];350;20130516;13255646;61762;2013;11
V9PVRfjEBTI;Billie Eilish - BIRDS OF A FEATHER (Official Music Video);Billie Eilish;;['Billie Eilish', 'Darkroom/Interscope Records', 'Alternative'];231;20240927;465983807;3959765;2024;3
4D7u5KF7SP8;Get Lucky (feat. Pharrell Williams and Nile Rodgers);Daft Punk;Daft Punk, Pharrell Williams, Nile Rodgers;['Daft Punk', 'Pharrell Williams', 'ファレルウィリアムス', 'P. Williams', 'Nile Rodgers', 'Random Access Memories', 'Get Lucky'];370;20141108;309661789;2986887;2014;7
